City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,hotan,37.0997,79.9269,286.5,26,90,3.14,CN,1697597066
296,san antonio de pale,-1.4014,5.6325,298.32,82,93,2.89,GQ,1697597066
297,sakti,22.0333,82.9667,298.76,62,7,1.41,IN,1697597067
298,hawkesbury,45.6001,-74.616,284.31,79,100,2.26,CA,1697596781
299,horta,38.5333,-28.6333,294.83,93,100,7.6,PT,1697597067
300,al jawf,29.5,38.75,292.45,40,0,3.45,SA,1697597067
301,na wa,17.4897,104.1006,301.17,65,99,2.5,TH,1697597067
302,taunggyi,20.7833,97.0333,294.17,80,82,0.58,MM,1697597067
303,kaynarca,41.0308,30.3075,287.25,92,100,4.36,TR,1697597068
304,arvayheer,46.2639,102.775,280.12,31,30,5.88,MN,1697597068
305,kailua-kona,19.6406,-155.9956,302.13,74,0,2.06,US,1697596869
306,pearsall,28.8922,-99.095,291.81,45,0,3.84,US,1697596840
307,timimoun,29.2639,0.231,294.36,21,0,1.54,DZ,1697597068
308,uturoa,-16.7333,-151.4333,299.02,83,75,5.95,PF,1697597047
309,al kharijah,25.4514,30.5464,293.31,45,0,3.16,EG,1697597068
310,pimentel,-6.8367,-79.9342,293.31,83,0,8.23,PE,1697597069
311,esikhaleni,-28.871,31.8996,291.74,85,100,1.21,ZA,1697597069
312,newport,51.5877,-2.9984,285.27,79,100,7.15,GB,1697597069
313,makubetsu,45.3714,141.8211,288.05,62,40,5.66,JP,1697597070
314,jumla,29.2747,82.1838,285.58,55,2,1.2,NP,1697597070
315,thompson,55.7435,-97.8558,278.24,87,20,1.54,CA,1697597070
316,borca,47.1833,25.7667,274.82,77,44,1.75,RO,1697597070
317,daru,-9.0763,143.2092,300.46,78,94,4.03,PG,1697597070
318,sitka,57.0531,-135.33,287.09,58,100,7.2,US,1697597071
319,codrington,-38.2667,141.9667,295.62,39,20,2.25,AU,1697596699
320,luwingu,-10.2621,29.9271,290.76,85,100,1.18,ZM,1697597071
321,nova sintra,14.8667,-24.7167,298.32,71,1,2.43,CV,1697597071
322,parras de la fuente,25.4167,-102.1833,289.51,32,50,2.54,MX,1697597071
323,qaisumah,28.3112,46.1273,294.13,30,0,1.54,SA,1697597071
324,whitehorse,60.7161,-135.0538,281.49,90,100,1.03,CA,1697596519
325,prainha,-1.8,-53.48,296.58,91,42,0.62,BR,1697597072
326,vadso,70.0744,29.7487,274.64,80,40,5.66,NO,1697597072
327,edd,13.9297,41.6925,301.61,74,51,1.41,ER,1697597072
328,mehrabpur,28.1085,68.0254,298.0,44,0,3.12,PK,1697597072
329,george town,5.4112,100.3354,303.68,80,20,2.24,MY,1697597004
330,saint-pierre,-21.3393,55.4781,296.24,68,100,3.09,RE,1697597073
331,tsiombe,-25.3,45.4833,295.18,92,100,2.24,MG,1697597073
332,vilyuysk,63.7553,121.6247,269.92,96,100,2.24,RU,1697597073
333,aykhal,66.0,111.5,262.08,93,99,4.92,RU,1697597073
334,burang,30.25,81.1667,272.23,47,18,2.5,CN,1697597073
335,quilmana,-12.95,-76.3833,293.59,83,100,2.29,PE,1697597074
336,port saint john's,-31.6229,29.5448,289.03,84,3,4.03,ZA,1697597062
337,tabas,33.5959,56.9244,291.27,36,6,0.0,IR,1697597074
338,al bawiti,28.3492,28.8659,291.82,83,0,2.34,EG,1697597074
339,robertsport,6.7533,-11.3686,298.36,87,95,1.8,LR,1697597074
340,qamdo,31.1667,97.2333,277.51,36,20,3.2,CN,1697597074
341,guatrache,-37.6678,-63.5302,283.64,34,0,4.43,AR,1697597075
342,divnoye,45.9089,43.3547,281.77,67,100,2.34,RU,1697597075
343,zhangzhou,24.5133,117.6556,298.11,66,100,0.87,CN,1697597075
344,kota bharu,6.1333,102.2386,303.12,79,20,1.03,MY,1697597075
345,changli,39.7042,119.1506,291.33,67,100,1.88,CN,1697597075
346,kialla,-36.4161,145.3954,293.09,47,0,2.36,AU,1697597076
347,tottori,35.5,134.2333,296.19,53,40,1.03,JP,1697597076
348,howrah,22.5892,88.3103,301.15,78,20,1.54,IN,1697597076
349,carloforte,39.145,8.3058,295.56,80,98,6.14,IT,1697597076
350,mossendjo,-2.9506,12.7261,294.44,100,100,0.66,CG,1697597076
351,kruisfontein,-34.0033,24.7314,288.68,60,0,4.11,ZA,1697597076
352,baile herculane,44.8797,22.4125,283.03,61,100,1.26,RO,1697597076
353,calingasta,-31.3308,-69.4078,287.25,32,33,2.55,AR,1697597077
354,katabu,-4.9333,122.5167,306.81,38,7,4.14,ID,1697597077
355,mount isa,-20.7333,139.5,308.02,10,0,3.6,AU,1697597077
356,port sudan,19.6175,37.2164,299.77,72,39,3.71,SD,1697597077
357,port blair,11.6667,92.75,301.17,83,40,1.03,IN,1697597033
358,gitarama,-2.0744,29.7567,289.85,90,100,1.03,RW,1697597077
359,bengkulu,-3.8004,102.2655,300.9,71,85,2.75,ID,1697597078
360,reichenbach an der fils,48.7101,9.4643,278.66,90,0,1.54,DE,1697597078
361,kamaishi,39.2667,141.8833,291.72,53,0,0.91,JP,1697597078
362,dunedin,-45.8742,170.5036,286.93,67,33,3.58,NZ,1697596823
363,mar del plata,-38.0023,-57.5575,282.56,84,0,2.06,AR,1697597078
364,hammerfest,70.6634,23.6821,273.4,93,40,2.57,NO,1697597078
365,dasing,48.3848,11.0467,277.43,95,100,1.54,DE,1697597079
